학교명,설립구분,지역,학부 정원내 재학생수,학부 정원내외 재학생수,학부 및 대학원 재학생수,학부 및 대학원 재학생수,학부 및 대학원 재학생수,등록금(원),운영수입(세입총액)(원),[1.3] 세입 중 등록금 비율,기부금(원),운영수입(세입총액)(원),[1.3] 세입 중 기부금 비율,법인전입금(원),운영수입(원),[1.3] 세입 중 법인전입금 비율(사립대),법정부담금 부담액(원),법정부담금 기준액(원),[1.3] 법정부담금 부담률(사립대),법인전입금(원),법인 일반회계 재정규모(원),[1.3] 법인 재정규모 대비 법인전입금 비율(사립대),총교육비(원),등록금(원),[1.3] 교육비 환원율,[1.5] 학생 충원 성과,(취업자+창업자+진학자) 수(명),취·창업 및 진학대상자 수(명),[1.5] 졸업생 진로 성과,전임교원 확보율(%),겸임교원 확보율(%),[3.1] 전임교원 및 겸임교원 확보율,강사료 계(원),강의시간수 계(시간),[3.3] 강사 강의료,교내연구비(천원),전임교원수(명),[3.4] 전임교원 1인당 교내연구비,등재(후보)지 논문 건수(건),전임교원수(명),[3.4] 전임교원 1인당 등재(후보)지 논문 실적,SCI급 논문 건수(건),전임교원수(명),[3.4] 전임교원 1인당 SCI급 논문 실적,저역서수(건),전임교원수(명),[3.4] 전임교원 1인당 저역서 실적,교외연구비(천원),전임교원수(명),[3.4] 전임교원 1인당 교외연구비,[3.4] 연구성과 기준값 대비 실적,학부 및 대학원 재학생수,직원수(명),[3.5] 직원 1인당 학생수,장학금(원),등록금(원),[4.1] 장학금 비율,수용가능인원(명),재학생수(명),[4.5] 기숙사 수용률 I,내국인 입사 인원(명),내국인 재학생수(명),[4.5] 기숙사 수용률 II,자료구입비(원),학생수(명),[4.6] 재학생 1인당 연간 자료구입비(결산),도서관직원수(명),학부 및 대학원 재학생수,"[4.6] 재학생 1,000명당 도서관 직원수"
국립강릉원주대학교,국립,강원,6200,6681,7353,7353,7353,26509734450,1.53996E+11,17.21457,846159885,1.53996E+11,0.54946,,,,,,,,,,1.51277E+11,26509734450,570.64644,96.47653,1012,1601,63.21049,82.1,1,83.09999,2294609675,23220,98820.39944,564700,371,1522.10242,227.3346,371,0.61276,122.9129,371,0.3313,31.6998,371,0.08544,16813513,371,45319.44204,14.33279,7353,373,19.71313,6472549090,27770884900,23.30696,2729,7026,38.84144,2416,6792,35.57126,213293800,7495,28458.14543,2.6,7353,0.35359
국립경국대학교,국립,경북,4372,4602,5184,5184,5184,16371985410,1.21683E+11,13.45457,330382000,1.21683E+11,0.2715,,,,,,,,,,1.2072E+11,16371985410,737.35536,81.75519,704,1177,59.81308,92.1,3.4,95.5,1130834925,13266,85243.09701,419000,292,1434.9315,231.5024,292,0.79281,76.7622,292,0.26288,33.3859,292,0.11433,23594701,292,80803.77054,17.50883,5184,484,10.71074,3542713950,16739772240,21.16345,1686,5386,31.30337,1603,5301,30.23957,650000000,5322,122134.53588,11,5184,2.12191
국립공주대학교,국립,충남,10618,12357,15081,15081,15081,46546330260,2.47769E+11,18.78617,1070890214,2.47769E+11,0.43221,,,,,,,,,,2.34678E+11,46546330260,504.18181,109.43145,1627,2618,62.14667,77.5,0.8,78.3,3694384500,36255,101900.0,1679554,573,2931.15881,398.9067,573,0.69617,235.2459,573,0.41055,45.55,573,0.07949,54700794,573,95463.86387,21.07137,15081,609,24.76354,8301012820,42506454630,19.52882,4568,13435,34.00074,4405,13127,33.55679,1263372930,14840,85132.94676,19.6,15081,1.29964
국립군산대학교,국립,전북,5719,6221,7169,7169,7169,24300542260,1.2898E+11,18.84058,248696552,1.2898E+11,0.19281,,,,,,,,,,1.45343E+11,24300542260,598.10536,90.63228,756,1323,57.14285,85.5,0.9,86.4,1136439750,13155,86388.42645,1464270,338,4332.15976,190.5218,338,0.56367,109.3271,338,0.32345,30.2037,338,0.08936,32488317,338,96119.28106,19.18081,7169,328,21.8567,4049313153,20296983860,19.95031,1718,6980,24.61318,1417,6303,22.48135,831488855,7205,115404.42123,12,7169,1.67387
국립금오공과대학교,국립,경북,4491,4895,5581,5581,5581,18626133890,95726786776,19.45759,526804618,95726786776,0.55032,,,,,,,,,,1.12687E+11,18626133890,604.99147,99.20956,849,1245,68.19277,79.5,0.4,79.9,845260500,8325,101532.79279,1596300,241,6623.65145,126.2934,241,0.52403,123.1458,241,0.51097,13.0657,241,0.05421,25983277,241,107814.42738,23.40184,5581,300,18.60333,3311658919,17534265290,18.88678,2052,5191,39.52995,1964,5084,38.63099,1209329252,5654,213889.14962,7.5,5581,1.34384
국립목포대학교,국립,전남,5172,5664,6367,6367,6367,20542940709,1.471E+11,13.96524,1263204223,1.471E+11,0.85873,,,,,,,,,,1.55516E+11,20542940709,757.0277,93.28063,977,1412,69.19263,86.4,1,87.4,1062241050,11623.5,91387.36611,914400,307,2978.50162,218.6682,307,0.71227,91.5844,307,0.29832,29.1414,307,0.09492,29623833,307,96494.57003,19.23298,6367,281,22.65836,4056534246,20006699009,20.27587,1261,6246,20.18892,1213,6145,19.73962,652302341,6436,101352.13502,7.8,6367,1.22506
국립목포해양대학교,국립,전남,2501,2646,2739,2739,2739,7780437660,78274921122,9.93988,802261000,78274921122,1.02492,,,,,,,,,,60596211420,7780437660,778.82779,96.67519,510,643,79.3157,87.5,0.8,88.3,555390000,5445,102000.0,217298,127,1711.00787,65.4453,127,0.51531,27.4405,127,0.21606,12.3166,127,0.09698,11541312,127,90876.47244,16.49767,2739,206,13.29611,1772948160,8368563140,21.18581,2257,2731,82.64372,2032,2716,74.8159,290285813,2628,110458.83295,3.8,2739,1.38736
국립부경대학교,국립,부산,13194,15131,17564,17564,17564,58723758792,2.68757E+11,21.85014,2060045665,2.68757E+11,0.7665,,,,,,,,,,3.21876E+11,58723758792,548.11908,114.82886,2003,3291,60.86295,72,1.9,73.9,3240386280,35608.5,91000.3589,8126484,630,12899.18095,422.5871,630,0.67077,407.7425,630,0.64721,77.8902,630,0.12363,103246729,630,163883.69682,33.30965,17564,655,26.81526,11702392418,57203599780,20.45744,3698,16501,22.41076,2931,15244,19.22723,2818298055,17886,157570.05786,17.5,17564,0.99635
국립순천대학교,국립,전남,5805,6352,7169,7169,7169,25338558130,1.39867E+11,18.11613,1069038950,1.39867E+11,0.76432,,,,,,,,,,1.45011E+11,25338558130,572.29524,98.23693,844,1405,60.07117,82.8,1.3,84.1,1940917660,22467,86389.71202,792000,314,2522.29299,174.2647,314,0.55498,113.6096,314,0.36181,15.7774,314,0.05024,24390256,314,77675.97452,17.42698,7169,347,20.65994,5047010644,24852140110,20.30815,2076,6848,30.31542,1813,6564,27.62035,1424473395,7161,198921.01591,9,7169,1.2554
국립창원대학교,국립,경남,6749,7401,8858,8858,8858,29172462590,1.7178E+11,16.98247,1125540432,1.7178E+11,0.65522,,,,,,,,,,1.80916E+11,29172462590,620.16084,105.5928,1053,1679,62.7159,75.7,2.1,77.8,2287354400,23632,96790.55517,1541214,345,4467.28695,253.1155,345,0.73366,119.0744,345,0.34514,18.3,345,0.05304,29001658,345,84062.77681,18.28939,8858,370,23.94054,6180597079,23725741420,26.05017,1920,8278,23.194,1847,7978,23.15116,1182299290,8906,132753.12036,13.8,8858,1.55791
국립한국교통대학교,국립,충북,7167,7950,8576,8576,8576,29013292526,1.73445E+11,16.72769,1005024681,1.73445E+11,0.57944,,,,,,,,,,1.63158E+11,29013292526,562.35744,103.82656,1276,1862,68.52846,77.3,1,78.3,2120311075,23184,91455.7917,4696200,325,14449.84615,196.4795,325,0.60455,83.4522,325,0.25677,21.3888,325,0.06581,48409133,325,148951.17846,22.85479,8576,393,21.82188,6119330385,30593183669,20.00226,2192,8388,26.13257,1938,8316,23.30447,1168329560,8504,137385.88428,11.5,8576,1.34095
국립한국해양대학교,국립,부산,5746,6326,7312,7312,7312,22131739260,1.71828E+11,12.88016,3875393089,1.71828E+11,2.25538,,,,,,,,,,1.71052E+11,22131739260,772.88163,115.26967,975,1323,73.69614,79.4,3.2,82.6,1461915000,15307.5,95503.18471,1019531,282,3615.35815,186.6234,282,0.66178,117.504,282,0.41668,20.5266,282,0.07278,32226619,282,114278.79078,22.86546,7312,299,24.45484,4716780230,19801653960,23.82013,2768,6860,40.34985,2589,6682,38.74588,1177208461,7184,163865.32029,10,7312,1.36761
국립한밭대학교,국립,대전,7333,8243,8935,8935,8935,32089758320,1.34083E+11,23.93274,1266138195,1.34083E+11,0.94429,,,,,,,,,,1.55316E+11,32089758320,484.00558,108.27531,1129,1789,63.10788,67.8,1.3,69.09999,2466826950,24198,101943.42301,1310412,289,4534.29757,118.2769,289,0.40926,108.7309,289,0.37623,15,289,0.0519,24868434,289,86049.94463,18.16399,8935,299,29.88294,6136853150,34029385380,18.03398,1436,8068,17.79871,1251,7877,15.88168,1188095953,8872,133915.23365,10,8935,1.11919
국민대학교,사립,서울,11732,14502,18064,18064,18064,1.56606E+11,2.38466E+11,65.67249,3589065501,2.38466E+11,1.50506,2508000000,2.38466E+11,1.05172,2508000000,8545799808,29.34775,2508000000,3416773668,73.40257,3.02604E+11,1.56606E+11,193.22561,121.65086,2156,3077,70.06824,72.4,4,76.4,1176353340,21240,55383.86723,7748033,651,11901.74039,461.2685,651,0.70855,267.8261,651,0.4114,42.4452,651,0.06519,67145537,651,103142.14592,21.65346,18064,494,36.5668,22377349352,1.108E+11,20.19624,2130,15996,13.31582,1559,13838,11.26607,2302943710,18057,127537.44863,21.4,18064,1.18467
극동대학교,사립,충북,2474,3165,3449,3449,3449,23460067049,35036394263,66.95913,233179600,35036394263,0.66553,280000000,35036394263,0.79916,280000000,1248228504,22.43179,280000000,-142296933,-196.77164,32277189641,23460067049,137.58353,89.23033,501,762,65.74803,60.5,4,64.5,456030000,8445,54000.0,149348,109,1370.16513,72.6477,109,0.66649,12.3106,109,0.11294,23.4833,109,0.21544,1495748,109,13722.45871,9.12605,3449,78,44.21794,3735360171,21329569469,17.51259,1082,3298,32.80776,650,2491,26.09393,278367988,3158,88146.92463,4.8,3449,1.3917
금강대학교,사립,충남,62,62,78,78,78,721268000,6359516895,11.34155,63667320,6359516895,1.00113,4300000000,6359516895,67.61519,183836190,183836190,100.0,4300000000,6403709861,67.14857,5619711522,721268000,779.14333,14.0909,38,74,51.35135,65,0,0,44550000,840,53035.71428,0,13,0,7.25,13,0.55769,0,13,0,2.1,13,0.16153,0,13,0,4.28571,78,25,3.12,471295027,597233000,78.91309,215,80,268.75,57,79,72.15189,29238340,115,254246.43478,1,78,12.82051
김천대학교,사립,경북,2009,2319,2514,2514,2514,16195332777,31408696915,51.56321,1857541222,31408696915,5.91409,1900000000,31408696915,6.04927,1199488320,1160943290,103.32014,1900000000,1976011526,96.15328,26561473284,16195332777,164.00696,90.33891,427,579,73.74784,75.1,4,79.09999,192450000,3420,56271.92982,128880,100,1288.8,50.3882,100,0.50388,6.0388,100,0.06038,7.25,100,0.07249,1353023,100,13530.23,5.20877,2514,94,26.74468,3852076226,15047962777,25.59865,1281,2401,53.35276,600,2065,29.05569,129295426,2340,55254.45555,2,2514,0.79554
나사렛대학교,사립,충남,3972,4494,4782,4782,4782,35051070580,65554672155,53.46845,365488025,65554672155,0.55753,87000000,65554672155,0.13271,54000000,1979360460,2.72815,87000000,207501063,41.92749,50968224886,35051070580,145.41132,93.93812,631,983,64.19125,67,3.3,70.3,222194500,4039.9,55000.0,164956,157,1050.67515,90.1593,157,0.57426,8.5737,157,0.0546,2.6334,157,0.01677,997688,157,6354.70063,5.09765,4782,110,43.47272,6376490497,32955108470,19.34901,1026,4127,24.86067,842,3927,21.4413,291293530,4932,59061.94849,5,4782,1.04558
남부대학교,사립,광주,2135,2364,2788,2788,2788,17532404286,41173520138,42.58174,229479620,41173520138,0.55734,236000000,41173520138,0.57318,236000000,930850220,25.35316,236000000,474421476,49.74479,35369982706,17532404286,201.74062,94.29597,398,572,69.58041,72.9,4,76.9,38232000,708,54000.0,117700,108,1089.81481,74.4399,108,0.68925,6.931,108,0.06417,10.4484,108,0.09674,226905,108,2100.97222,5.07533,2788,62,44.96774,2815557507,14869153116,18.93556,988,2434,40.59161,504,2298,21.93211,170244193,3018,56409.60669,3.8,2788,1.36298
남서울대학교,사립,충남,7655,8922,9920,9920,9920,74009957939,1.24222E+11,59.57874,502510850,1.24222E+11,0.40452,970000000,1.24222E+11,0.78085,970000000,3449617211,28.11906,970000000,857942550,113.06118,1.09445E+11,74009957939,147.87929,101.29427,1345,2010,66.91542,61.6,4,65.59999,960972000,17890.5,53714.09407,459400,293,1567.91808,221.9653,293,0.75756,30.3521,293,0.10359,22.711,293,0.07751,5558547,293,18971.15017,7.42525,9920,266,37.29323,12850934373,67371849740,19.07463,1332,9263,14.37979,1058,7840,13.49489,606119171,9621,62999.60201,12,9920,1.20967
단국대학교,사립,경기,19154,21920,26123,26123,26123,2.1815E+11,3.26771E+11,66.75918,5828592441,3.26771E+11,1.78369,11060000000,3.26771E+11,3.38463,11060000000,13892987514,79.6085,11060000000,25045562383,44.15951,3.77311E+11,2.1815E+11,172.95972,116.70748,3168,4885,64.85158,67.3,3.6,70.89999,2104285500,38875,54129.53054,4190405,1003,4177.87138,686.6241,1003,0.68457,367.8727,1003,0.36677,32.1576,1003,0.03206,65246914,1003,65051.75872,16.33089,26123,584,44.73116,26413496889,1.66667E+11,15.84808,4684,23756,19.71712,3620,22441,16.13118,3547826562,25916,136897.15087,29.2,26123,1.11778
대구가톨릭대학교,사립,경북,9516,11320,12977,12977,12977,86462960384,1.58536E+11,54.53846,2178318926,1.58536E+11,1.37402,6400000000,1.58536E+11,4.03694,6116843991,6134035721,99.71973,6400000000,15082483563,42.43332,1.58291E+11,86462960384,183.07354,108.04619,1405,2303,61.00738,61.9,3,64.9,1372297078,24785,55368.04833,919000,533,1724.20262,149.9641,533,0.28135,101.6314,533,0.19067,19.4806,533,0.03654,20122510,533,37753.30206,9.00192,12977,417,31.1199,12279540178,72042526997,17.04484,2786,12336,22.5843,2041,11019,18.52255,1730711906,12041,143734.89793,14,12977,1.07883
대구대학교,사립,경북,13080,15459,16976,16976,16976,1.14172E+11,2.11208E+11,54.05665,1290055614,2.11208E+11,0.61079,2500000000,2.11208E+11,1.18366,2500000000,7046538103,35.47841,2500000000,4432361015,56.40334,2.03275E+11,1.14172E+11,178.04287,100.93366,2005,3515,57.04125,62.8,4,66.8,624839865,8265,75600.70961,677300,499,1357.31462,276.9879,499,0.55508,94.5914,499,0.18956,26.6245,499,0.05335,10224553,499,20490.08617,8.31546,16976,369,46.00542,15466261874,1.0219E+11,15.13482,4292,16230,26.44485,3491,14469,24.12744,958165355,16876,56776.80463,17.5,16976,1.03086
대구예술대학교,사립,경북,153,250,250,250,250,2125796666,4750130047,44.75238,20000000,4750130047,0.42104,44000000,4750130047,0.92629,44000000,251983890,17.46143,44000000,196700980,22.36897,5074747050,2125796666,238.72212,20.11263,80,149,53.69127,26.9,3.3,30.2,28217000,806.2,35000.0,0,17,0,2.5,17,0.14705,0,17,0,1,17,0.05882,0,17,0,1.40056,250,26,9.61538,227754056,2121496666,10.73553,103,250,41.19999,49,154,31.81818,8965320,278,32249.35251,1,250,4.0
대구한의대학교,사립,경북,5225,6961,7503,7503,7503,49378060580,99532433439,49.61002,647107720,99532433439,0.65014,440000000,99532433439,0.44206,360000000,2966900254,12.13387,440000000,3199834911,13.7507,97232919786,49378060580,196.91522,114.5278,1031,1500,68.73333,62.7,2.6,65.3,194366250,3202.5,60692.03747,283000,223,1269.05829,92.9031,223,0.4166,18.4994,223,0.08295,15.358,223,0.06886,6562628,223,29428.82511,6.94015,7503,229,32.76419,10168076117,45423395740,22.3851,911,7149,12.74304,779,5808,13.41253,399550000,7105,56235.04574,9,7503,1.19952
대신대학교,사립,경북,483,1335,1632,1632,1632,4674219347,8448390356,55.32674,316291554,8448390356,3.7438,610000000,8448390356,7.22031,220000000,194451620,113.13868,610000000,997352580,61.16192,6587173428,4674219347,140.92563,268.07228,50,75,66.66666,51.3,1.5,52.8,2925000,45,65000,28600,39,733.33333,13.3,39,0.34102,0,39,0,2,39,0.05128,12910,39,331.02564,1.99457,1632,21,77.71428,791420071,3470400667,22.80486,117,776,15.07731,48,-162,-29.62963,39998490,689,58052.96081,1.5,1632,0.91911
대전가톨릭대학교,사립,충남,34,35,55,55,55,303460000,2826361876,10.73677,1232488598,2826361876,43.60689,920000000,2826361876,32.55067,152659890,152659890,100.0,920000000,1574625417,58.42659,3471931980,303460000,1144.11519,21.875,7,7,100,91.6,0,0,20250000,405,50000.0,5200,11,472.72727,3,11,0.27272,0,11,0,3,11,0.27272,0,11,0,5.32467,55,37,1.48648,58360000,187200000,31.17521,519,55,943.63636,51,54,94.44444,47760013,53,901132.32075,2,55,36.36363
대전대학교,사립,대전,7061,7823,8405,8405,8405,58140167593,1.04218E+11,55.78706,631618587,1.04218E+11,0.60605,1020000000,1.04218E+11,0.97871,1000000000,3039424291,32.90096,1020000000,1690668991,60.33114,1.18997E+11,58140167593,204.67191,103.04267,1090,1760,61.93181,67.1,4,71.09999,821609925,15015,54719.27572,365000,277,1317.68953,122.2194,277,0.44122,45.3546,277,0.16373,11.7679,277,0.04248,10442703,277,37699.2888,9.01332,8405,174,48.30459,10135260232,50973131592,19.88353,2287,8192,27.91748,1879,7896,23.79685,869026186,8531,101866.86039,9,8405,1.07079
대전신학대학교,사립,대전,48,48,180,180,180,1022172013,2483307755,41.16171,796742088,2483307755,32.0839,315603510,2483307755,12.70899,150000000,136353600,110.00809,315603510,436577638,72.29035,2497824174,1022172013,244.36436,37.5,4,4,100,43.7,4,47.7,0,0,0,0,7,0,4,7,0.57142,0,7,0,1.45,7,0.20714,0,7,0,5.08503,180,8,22.5,68234664,288901000,23.6187,0,0,0,0,0,0,2442140,176,13875.79545,1,180,5.55555
대진대학교,사립,경기,6247,7751,8135,8135,8135,58288153300,1.00121E+11,58.21786,1452663150,1.00121E+11,1.45091,4177631000,1.00121E+11,4.17259,4019411000,4015474540,100.09803,4177631000,18128918837,23.04401,86136200209,58288153300,147.77651,111.75028,950,1466,64.80218,61.1,0.9,62.0,499770000,8910,56090.90909,443245,231,1918.80952,135.001,231,0.58441,42.8957,231,0.18569,12.5362,231,0.05426,4766844,231,20635.68831,8.35174,8135,238,34.18067,9613820935,54036404200,17.79137,1515,7945,19.06859,562,6764,8.30869,625761078,7672,81564.26981,7.9,8135,0.97111
덕성여자대학교,사립,서울,4898,5566,5838,5838,5838,40101606760,76495675992,52.42336,642466880,76495675992,0.83987,3987895000,76495675992,5.21322,2953873000,2953722190,100.0051,3987895000,11990048816,33.26003,72592176159,40101606760,181.02061,120.21598,810,1276,63.47962,73.2,4,77.2,667330200,11411.8,58477.2078,251740,197,1277.86802,134.1778,197,0.6811,47.5659,197,0.24145,14.2512,197,0.07234,5771398,197,29296.43654,10.91037,5838,177,32.98305,5740369261,36938385720,15.54039,880,5737,15.33902,536,5522,9.70662,499351853,5686,87821.28965,12.5,5838,2.14114
동국대학교,사립,서울,11112,13841,18545,18545,18545,1.59228E+11,2.5694E+11,61.9709,13907405037,2.5694E+11,5.4127,5918000000,2.5694E+11,2.30325,5915000000,9793340414,60.39818,5918000000,21349914034,27.71908,3.12449E+11,1.59228E+11,196.22731,123.41506,1989,2832,70.23305,65.4,4,69.4,1837423200,32905.4,55839.56432,6326674,686,9222.55685,432.1067,686,0.62989,470.7765,686,0.68626,39.3909,686,0.05742,85026246,686,123944.96501,28.87647,18545,580,31.97413,21751428305,1.02819E+11,21.15515,2221,16213,13.69888,1308,13690,9.55441,2770768124,17982,154085.64809,23.5,18545,1.26718
동국대학교(WISE),사립,경북,6139,6898,7312,7312,7312,53881026602,96512123417,55.82824,2975994214,96512123417,3.08354,2754000000,96512123417,2.85352,2754000000,3871258735,71.13965,2754000000,21349914034,12.89934,99155087812,53881026602,184.02598,94.54495,884,1405,62.91814,71.8,3,74.8,1005197750,17051.2,58951.73066,714125,300,2380.41666,147.6739,300,0.49224,85.9956,300,0.28665,13.7761,300,0.04592,13546441,300,45154.80333,12.42027,7312,161,45.41614,8565749000,49495093002,17.30625,1839,7104,25.88682,1413,6697,21.09899,729044190,6782,107496.93158,8.6,7312,1.17614
동덕여자대학교,사립,서울,5560,6392,6722,6722,6722,53042371390,89333908041,59.3754,818158380,89333908041,0.91584,320000000,89333908041,0.3582,320000000,3111042490,10.28594,320000000,2068022920,15.47371,76245008507,53042371390,143.74358,101.33164,982,1533,64.0574,66.6,3.5,70.09999,692539500,12165,56928.85326,209500,214,978.97196,112.5948,214,0.52614,31.1645,214,0.14562,7.0624,214,0.033,4149238,214,19388.96261,6.90476,6722,126,53.3492,9045856036,49213749760,18.38074,798,6278,12.71105,544,6191,8.78694,731948257,7306,100184.54106,10.5,6722,1.56203
동명대학교,사립,부산,5499,6761,7484,7484,7484,47465531430,91196392521,52.04759,1522159100,91196392521,1.6691,1100000000,91196392521,1.20618,1100000000,3336837325,32.96534,1100000000,1423686592,77.26419,81149768856,47465531430,170.96568,109.38359,965,1543,62.5405,63.2,4,67.2,295342200,5310,55620.0,684920,229,2990.91703,154.6688,229,0.6754,28.1197,229,0.12279,17.737,229,0.07745,3209739,229,14016.32751,7.07814,7484,142,52.70422,7854560359,43782188410,17.94008,906,7227,12.53632,698,5697,12.25206,408184073,7367,55407.09556,8.9,7484,1.1892
동서대학교,사립,부산,7599,8582,8990,8990,8990,58021613273,1.20419E+11,48.18328,743018152,1.20419E+11,0.61702,580000000,1.20419E+11,0.48165,580000000,4134658050,14.02776,580000000,1707489028,33.968,1.09319E+11,58021613273,188.41068,101.92399,1226,1987,61.70105,75.2,4,79.2,459781000,8290,55462.12303,449345,320,1404.20312,159.3615,320,0.498,49.5947,320,0.15498,20.2403,320,0.06325,4718141,320,14744.19062,7.05114,8990,261,34.44444,8925511306,54126580929,16.49007,1927,8757,22.00525,860,8182,10.51087,505000000,9159,55137.02369,9,8990,1.00111
동신대학교,사립,전남,4804,5571,6863,6863,6863,42958652490,78855143174,54.47793,675873039,78855143174,0.8571,150000000,78855143174,0.19022,150000000,2609803410,5.74755,150000000,679463670,22.07623,84427617037,42958652490,196.53227,93.44179,861,1323,65.07936,61.6,1.8,63.4,382098720,6780,56356.74336,812400,226,3594.69026,105.3919,226,0.46633,25.3323,226,0.11208,24.3862,226,0.1079,16843010,226,74526.59292,12.82523,6863,136,50.46323,6367194014,34917973590,18.23471,1260,6428,19.60174,1089,4883,22.30186,430000000,6528,65870.09803,8.7,6863,1.26766
동아대학교,사립,부산,15906,17634,19715,19715,19715,1.41919E+11,2.63814E+11,53.79504,3565425865,2.63814E+11,1.35149,4270979000,2.63814E+11,1.61893,4170979000,9811035575,42.51313,4270979000,7150792945,59.72734,2.58126E+11,1.41919E+11,181.88263,106.96348,2440,4073,59.9067,65.1,4,69.09999,1356399500,24661,55001.80446,1015564,715,1420.36923,306.1748,715,0.42821,193.4736,715,0.27059,27.8539,715,0.03895,42357259,715,59240.92167,13.20869,19715,429,45.95571,19090185102,1.21949E+11,15.65423,2455,18484,13.28175,1941,17529,11.07307,2319198636,19596,118350.6142,25.3,19715,1.28328
동양대학교,사립,경북,3667,4241,4496,4496,4496,28372215145,52490814411,54.05177,180795350,52490814411,0.34443,160000000,52490814411,0.30481,160000000,1739075330,9.20029,160000000,243782870,65.63217,44545579377,28372215145,157.00423,106.025,506,768,65.88541,58.7,3.8,62.5,184032000,3453,53296.26411,135834,127,1069.55905,83.21,127,0.65519,23.9364,127,0.18847,3.6333,127,0.0286,2022530,127,15925.43307,7.71085,4496,158,28.45569,5086500546,26542874978,19.16333,1466,4383,33.44741,827,3935,21.01651,232635564,4291,54214.76672,5,4496,1.11209
동의대학교,사립,부산,12684,14302,15125,15125,15125,99775930158,1.68465E+11,59.22648,1404001592,1.68465E+11,0.8334,1000000000,1.68465E+11,0.59359,1000000000,5945779590,16.81865,1000000000,6934958732,14.41969,1.57481E+11,99775930158,157.83469,99.8743,1947,3185,61.13029,72.7,4,76.7,407660000,7480,54500.0,844700,550,1535.81818,313.941,550,0.5708,78.4797,550,0.14269,43.7289,550,0.0795,18073696,550,32861.26545,9.09591,15125,269,56.22676,18821362477,92246915658,20.40324,3004,14347,20.93817,2551,13625,18.72293,910931214,14899,61140.42647,15,15125,0.99173
루터대학교,사립,경기,295,300,338,338,338,2283308367,5876923438,38.8521,52683480,5876923438,0.89644,443924000,5876923438,7.55368,178854760,178854760,100.0,443924000,695765589,63.80367,5019133352,2283308367,219.81846,88.23529,49,70,70.0,83.3,4,87.3,28875000,525,55000.0,23800,15,1586.66666,15.7,15,1.04666,0,15,0,2.7,15,0.18,9650,15,643.33333,6.31214,338,21,16.09523,422101202,1984586500,21.26897,94,306,30.71895,26,306,8.49673,21595250,373,57896.1126,0,338,0
명지대학교,사립,경기,10297,13271,15924,15924,15924,1.30494E+11,2.03367E+11,64.16654,2081558785,2.03367E+11,1.02354,1577600000,2.03367E+11,0.77573,1577600000,7404186664,21.30686,1577600000,4848967604,32.53476,1.97848E+11,1.30494E+11,151.61517,128.40832,2021,2969,68.07005,66.8,4,70.8,110880000,1980,56000.0,613540,504,1217.34126,220.2594,504,0.43702,94.7984,504,0.18809,43.4359,504,0.08618,28479013,504,56505.97817,12.09744,15924,422,37.73459,16047417789,1.01223E+11,15.85352,3041,13779,22.06981,2579,11909,21.65589,2137210377,15689,136223.4927,18.1,15924,1.13664
목원대학교,사립,대전,6688,7390,8057,8057,8057,51603742240,96302951748,53.58479,945463132,96302951748,0.98175,553000000,96302951748,0.57422,543000000,2926950483,18.55173,553000000,774523687,71.39872,90019209191,51603742240,174.44318,102.213,852,1413,60.29723,68.2,4,72.2,1217910000,22410,54346.72021,777879,264,2946.51136,195.2358,264,0.73952,23.851,264,0.09034,22.5506,264,0.08541,1503451,264,5694.89015,5.91297,8057,136,59.24264,8858767834,46399052420,19.09256,1417,8017,17.67494,1142,7104,16.07545,537182048,7863,68317.69655,9,8057,1.11704
목포가톨릭대학교,사립,전남,434,463,463,463,463,3161994320,9481507698,33.34906,248800000,9481507698,2.62405,205917165,9481507698,2.17177,205917165,247286335,83.27074,205917165,240333374,85.6798,7588920193,3161994320,240.00423,96.45833,86,133,64.66165,87.5,1.2,88.7,54270000,1005,54000.0,25000,21,1190.47619,9.8667,21,0.46984,0.5909,21,0.02813,1.3,21,0.0619,0,21,0,2.93691,463,34,13.61764,592794318,3160754320,18.75483,203,463,43.84449,103,463,22.24622,47774558,482,99117.34024,1,463,2.15982
배재대학교,사립,대전,6708,7344,7853,7853,7853,52863930310,98696013629,53.56237,1753479187,98696013629,1.77664,1000000000,98696013629,1.01321,700000000,3750485052,18.66425,1000000000,3651999406,27.38226,97385345390,52863930310,184.21888,97.88084,873,1487,58.7088,65.4,4,69.4,433642500,7818,55467.19109,416100,254,1638.18897,155.0185,254,0.6103,13.1132,254,0.05162,18.4052,254,0.07246,1491280,254,5871.1811,4.57108,7853,203,38.68472,8551017601,47582293300,17.971,1801,7780,23.1491,1546,7277,21.24501,507898000,7995,63526.95434,9.4,7853,1.19699
백석대학교,사립,충남,10430,11574,14449,14449,14449,1.13054E+11,1.75498E+11,64.4187,1694722713,1.75498E+11,0.96566,730000000,1.75498E+11,0.41595,730000000,5119708340,14.25862,730000000,1357760138,53.76501,1.60206E+11,1.13054E+11,141.70821,100.99476,1701,2519,67.52679,66,0,0,595276000,10991,54160.31298,511105,464,1101.51939,205.32,464,0.4425,19.2437,464,0.04147,35.5346,464,0.07658,6577510,464,14175.6681,9.6285,14449,310,46.60967,12544904971,88572615280,14.16341,1857,13062,14.21681,1742,12071,14.43128,971265998,14163,68577.70232,17.6,14449,1.21807
