학교명,설립구분,지역,학부 정원내 재학생수,학부 정원내외 재학생수,학부 및 대학원 재학생수,학부 및 대학원 재학생수,학부 및 대학원 재학생수,등록금(원),운영수입(세입총액)(원),[1.3] 세입 중 등록금 비율,기부금(원),운영수입(세입총액)(원),[1.3] 세입 중 기부금 비율,법인전입금(원),운영수입(원),[1.3] 세입 중 법인전입금 비율(사립대),법정부담금 부담액(원),법정부담금 기준액(원),[1.3] 법정부담금 부담률(사립대),법인전입금(원),법인 일반회계 재정규모(원),[1.3] 법인 재정규모 대비 법인전입금 비율(사립대),총교육비(원),등록금(원),[1.3] 교육비 환원율,[1.5] 학생 충원 성과,(취업자+창업자+진학자) 수(명),취·창업 및 진학대상자 수(명),[1.5] 졸업생 진로 성과,전임교원 확보율(%),겸임교원 확보율(%),[3.1] 전임교원 및 겸임교원 확보율,강사료 계(원),강의시간수 계(시간),[3.3] 강사 강의료,교내연구비(천원),전임교원수(명),[3.4] 전임교원 1인당 교내연구비,등재(후보)지 논문 건수(건),전임교원수(명),[3.4] 전임교원 1인당 등재(후보)지 논문 실적,SCI급 논문 건수(건),전임교원수(명),[3.4] 전임교원 1인당 SCI급 논문 실적,저역서수(건),전임교원수(명),[3.4] 전임교원 1인당 저역서 실적,교외연구비(천원),전임교원수(명),[3.4] 전임교원 1인당 교외연구비,[3.4] 연구성과 기준값 대비 실적,학부 및 대학원 재학생수,직원수(명),[3.5] 직원 1인당 학생수,장학금(원),등록금(원),[4.1] 장학금 비율,수용가능인원(명),재학생수(명),[4.5] 기숙사 수용률 I,내국인 입사 인원(명),내국인 재학생수(명),[4.5] 기숙사 수용률 II,자료구입비(원),학생수(명),[4.6] 재학생 1인당 연간 자료구입비(결산),도서관직원수(명),학부 및 대학원 재학생수,"[4.6] 재학생 1,000명당 도서관 직원수"
건국대학교(글로컬),사립,충북,6399,7190,7670,7670,7670,60024936746,1.22477E+11,49.00925,520261390,1.22477E+11,0.42478,1968811000,1.22477E+11,1.60749,1968811000,4551086220,43.26024,1968811000,14578412294,13.50497,1.16227E+11,60024936746,193.63064,113.47853,1092,1662,65.70397,64.5,4,68.5,678024960,12172.8,55700.0,1341000,407,3294.84029,162.1309,407,0.39835,123.643,407,0.30379,27.2646,407,0.06698,14924874,407,36670.45208,11.99751,7670,228,33.64035,9573206679,54163883947,17.67452,2286,7574,30.1822,2163,7327,29.52094,875589065,7415,118083.48819,9.4,7670,1.22555
건양대학교,사립,충남,5865,6372,7050,7050,7050,45521868566,1.12188E+11,40.5764,2130668420,1.12188E+11,1.89919,4616095370,1.12188E+11,4.1146,4616095370,4605658040,100.22661,4616095370,43820058818,10.5342,1.11427E+11,45521868566,244.77769,95.71879,1134,1482,76.51821,67.8,4,71.8,247286000,4495,55013.57063,574348,350,1640.99428,170.6551,350,0.48758,66.2783,350,0.18936,10.4929,350,0.02997,12635715,350,36102.04285,9.2903,7050,216,32.63888,8960872408,40827047549,21.94837,2595,6652,39.01082,2258,6447,35.02404,667185685,6893,96791.77208,7.6,7050,1.07801
경기대학교,사립,경기,12014,13732,15784,15784,15784,1.13769E+11,1.81132E+11,62.8102,2195764761,1.81132E+11,1.21224,10000000,1.81132E+11,0.00552,10000000,6653376715,0.15029,10000000,211944410,4.71821,1.7001E+11,1.13769E+11,149.43396,116.3433,1932,2995,64.50751,64.6,4,68.59999,570240000,10560,54000.0,989738,485,2040.6969,316.9513,485,0.6535,159.2236,485,0.32829,33.6506,485,0.06938,18304262,485,37740.74639,13.36353,15784,243,64.95473,18345884635,91033983000,20.15278,2235,14795,15.10645,1933,13913,13.89348,907655310,15997,56739.09545,18,15784,1.14039
경남대학교,사립,경남,7458,8352,9577,9577,9577,59575995484,1.20193E+11,49.56705,1185497830,1.20193E+11,0.98633,1750000000,1.20193E+11,1.45599,1750000000,4492328020,38.9553,1750000000,2059082705,84.9893,1.33527E+11,59575995484,224.12928,100.78436,1455,2373,61.31479,77.6,4,81.59999,547425000,10137.5,54000.0,547000,365,1498.63013,246.5693,365,0.67553,47.9448,365,0.13135,42.3967,365,0.11615,4917344,365,13472.17534,7.84034,9577,270,35.47037,10271796379,51029360337,20.12918,1599,8825,18.11898,1252,8315,15.05712,1011262926,9915,101993.23509,12.8,9577,1.33653
경동대학교,사립,강원,5637,7145,7204,7204,7204,62381385426,99699455018,62.56943,376769621,99699455018,0.3779,1803800120,99699455018,1.80923,1803800120,1803800120,100.0,1803800120,2720632816,66.30075,80695009951,62381385426,129.35751,113.25091,1169,1517,77.05998,63.7,2.4,66.1,304885000,5620,54250.0,212000,220,963.63636,82.0373,220,0.37289,20.1022,220,0.09137,26.6134,220,0.12097,199910,220,908.68181,4.99992,7204,148,48.67567,13008281496,62319285426,20.8736,2253,7173,31.40945,1238,6009,20.60242,375521870,7036,53371.49943,7.8,7204,1.08273
경북대학교,국립,대구,20386,22562,28581,28581,28581,1.11626E+11,5.50756E+11,20.26776,5698337836,5.50756E+11,1.03463,,,,,,,,,,7.04103E+11,1.11626E+11,630.76985,117.70045,2944,4589,64.15341,72.6,0.6,73.19999,4314553452,44174,97671.78548,15550020,1428,10889.36974,596.8919,1428,0.41799,913.8908,1428,0.63997,61.1865,1428,0.04284,222397696,1428,155740.68347,30.28204,28581,1064,26.86184,18469893782,88470232720,20.87695,6169,26010,23.7178,4966,24761,20.05573,6052106547,27535,219796.86025,47.2,28581,1.65144
경상국립대학교,국립,경남,15263,16424,19170,19170,19170,69247257565,4.31238E+11,16.05779,3488824521,4.31238E+11,0.80902,,,,,,,,,,4.32229E+11,69247257565,624.18174,93.75499,1693,2822,59.99291,82.8,0.4,83.2,4546657080,44185.2,102900.0,8644406,1050,8232.76761,688.6563,1050,0.65586,477.5431,1050,0.4548,62.0534,1050,0.05909,103633976,1050,98699.02476,21.82483,19170,856,22.39485,10527126747,57362756000,18.35184,5265,19367,27.18541,4925,19028,25.8829,4562937868,17672,258201.55432,31,19170,1.61711
경성대학교,사립,부산,10134,12568,13209,13209,13209,87169578135,1.41864E+11,61.44571,991155465,1.41864E+11,0.69866,70000000,1.41864E+11,0.04934,70000000,5174173350,1.35287,70000000,2189768101,3.19668,1.18364E+11,87169578135,135.78573,113.27625,1366,2415,56.56314,59.5,4,63.5,860130000,15090,57000.0,1217686,363,3354.50688,154.7093,363,0.42619,42.2195,363,0.1163,24.1763,363,0.0666,10618483,363,29252.01928,7.57907,13209,234,56.44871,12385830409,81402889935,15.21546,1470,13144,11.18381,1177,11011,10.68931,655631245,12866,50958.43657,13,13209,0.98417
경운대학교,사립,경북,4207,5074,5580,5580,5580,38597780801,67014184524,57.59643,657990740,67014184524,0.98186,469024000,67014184524,0.69988,469024000,1681929000,27.88607,469024000,1616523917,29.01435,60104590955,38597780801,155.72032,107.13682,642,910,70.54945,58.6,0.2,58.8,592410000,9285,63802.90791,175430,163,1076.25766,81.862,163,0.50222,3.0222,163,0.01854,13.3484,163,0.08189,3041963,163,18662.34969,5.03684,5580,166,33.61445,10781182867,36569720801,29.48117,1719,5388,31.90423,697,4296,16.22439,336811604,4980,67632.8522,5.8,5580,1.03942
경일대학교,사립,경북,5920,6930,7463,7463,7463,49216137850,92944509993,52.95217,739426652,92944509993,0.79555,435000000,92944509993,0.46802,435000000,2704627290,16.08354,435000000,7769601012,5.59874,85010732415,49216137850,172.72938,112.09964,957,1492,64.14209,67.8,4,71.8,0,0,0,318000,238,1336.13445,109.8578,238,0.46158,18.5186,238,0.0778,7.2083,238,0.03028,3506929,238,14734.99579,4.85328,7463,184,40.55978,8317329889,44372681280,18.74425,1726,7300,23.64383,998,6342,15.73636,419997495,7301,57526.02314,8,7463,1.07195
